,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.9466666666666668,0.9633333333333334,0.95,0.94,0.95,0.95,0.96,0.9566666666666668,0.9333333333333332,0.94,0.9533333333333334,0.97,0.9533333333333334,0.9433333333333334,0.97,0.9533333333333334,0.95,0.95,0.9366666666666666,0.9466666666666668,0.9566666666666668,0.94,0.9566666666666668,0.9466666666666668,0.9466666666666668,0.96,0.9533333333333334,0.9466666666666668,0.92,0.93
AtrialFibrillation,0.4,0.5333333333333333,0.2666666666666666,0.2666666666666666,0.2,0.4666666666666667,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.0666666666666666,0.2666666666666666,0.3333333333333333,0.2666666666666666,0.4,0.4,0.6,0.2,0.2,0.3333333333333333,0.2666666666666666,0.4,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.2
BasicMotions,0.725,0.9,0.775,0.85,0.8,0.8,0.95,0.675,0.85,0.75,0.775,0.85,0.725,0.8,0.85,0.8,0.825,0.85,0.8,0.925,0.85,0.875,0.8,0.875,0.7,0.85,0.7,0.775,0.875,0.95
Cricket,0.875,0.9305555555555556,0.8888888888888888,0.8472222222222222,0.8472222222222222,0.8333333333333334,0.8611111111111112,0.9027777777777778,0.9027777777777778,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.9305555555555556,0.9027777777777778,0.8472222222222222,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9027777777777778,0.875,0.9027777777777778,0.875,0.8888888888888888,0.8888888888888888,0.9027777777777778,0.9166666666666666,0.9027777777777778,0.9027777777777778,0.9166666666666666
DuckDuckGeese,0.2,0.18,0.22,0.18,0.2,0.24,0.2,0.2,0.2,0.18,0.2,0.2,0.18,0.16,0.22,0.18,0.2,0.22,0.24,0.22,0.18,0.2,0.2,0.16,0.22,0.16,0.2,0.14,0.2,0.2
ERing,0.8148148148148148,0.8814814814814815,0.8407407407407408,0.8629629629629629,0.8925925925925926,0.8629629629629629,0.8851851851851852,0.8444444444444444,0.8888888888888888,0.8703703703703703,0.8555555555555555,0.8148148148148148,0.8703703703703703,0.8740740740740741,0.8592592592592593,0.8481481481481481,0.8518518518518519,0.8444444444444444,0.8111111111111111,0.8444444444444444,0.8518518518518519,0.8629629629629629,0.8925925925925926,0.8703703703703703,0.9037037037037036,0.8333333333333334,0.8814814814814815,0.8629629629629629,0.9,0.7851851851851852
Epilepsy,0.6086956521739131,0.4057971014492754,0.4927536231884058,0.5,0.5072463768115942,0.3405797101449275,0.7391304347826086,0.3840579710144927,0.3768115942028985,0.6159420289855072,0.4855072463768116,0.4565217391304347,0.3550724637681159,0.5217391304347826,0.5072463768115942,0.6521739130434783,0.4855072463768116,0.6884057971014492,0.3623188405797101,0.5072463768115942,0.6376811594202898,0.5,0.5797101449275363,0.6739130434782609,0.4927536231884058,0.4782608695652174,0.572463768115942,0.5507246376811594,0.5362318840579711,0.5217391304347826
EthanolConcentration,0.3041825095057034,0.3802281368821292,0.3992395437262357,0.3346007604562737,0.3193916349809886,0.3041825095057034,0.3155893536121673,0.3231939163498099,0.376425855513308,0.2661596958174905,0.3155893536121673,0.3003802281368821,0.3307984790874524,0.3460076045627376,0.3155893536121673,0.3155893536121673,0.311787072243346,0.3840304182509506,0.3079847908745247,0.3231939163498099,0.3041825095057034,0.3193916349809886,0.2699619771863117,0.3650190114068441,0.3079847908745247,0.3460076045627376,0.3688212927756654,0.3079847908745247,0.311787072243346,0.3307984790874524
FaceDetection,0.5845629965947786,0.5581725312145289,0.5082292849035187,0.6316685584562997,0.5681044267877412,0.554483541430193,0.5468217934165721,0.5053916004540295,0.5317820658342792,0.507094211123723,0.5283768444948922,0.5190124858115778,0.5042565266742338,0.518161180476731,0.6424517593643587,0.5437003405221339,0.514472190692395,0.5122020431328036,0.6177639046538025,0.5,0.6748013620885358,0.5737797956867197,0.6384790011350738,0.6478433598183881,0.6217366628830874,0.5079455164585698,0.5258229284903518,0.5005675368898979,0.5031214528944381,0.5008513053348468
FingerMovements,0.51,0.53,0.59,0.53,0.5,0.51,0.47,0.5,0.55,0.52,0.5,0.57,0.55,0.49,0.58,0.51,0.52,0.56,0.53,0.44,0.46,0.54,0.51,0.54,0.56,0.52,0.53,0.55,0.51,0.54
HandMovementDirection,0.5,0.4520547945205479,0.4383561643835616,0.4931506849315068,0.5068493150684932,0.4383561643835616,0.4383561643835616,0.4246575342465753,0.3972602739726027,0.4931506849315068,0.4794520547945205,0.4246575342465753,0.4520547945205479,0.4657534246575342,0.4657534246575342,0.3698630136986301,0.3561643835616438,0.4520547945205479,0.3835616438356164,0.4246575342465753,0.3150684931506849,0.410958904109589,0.4383561643835616,0.3287671232876712,0.4520547945205479,0.3835616438356164,0.3561643835616438,0.4246575342465753,0.410958904109589,0.4657534246575342
Handwriting,0.3047058823529411,0.2329411764705882,0.2905882352941176,0.2858823529411765,0.2470588235294117,0.3105882352941176,0.2847058823529412,0.2623529411764705,0.2929411764705882,0.2623529411764705,0.2647058823529412,0.2835294117647058,0.268235294117647,0.2729411764705882,0.268235294117647,0.3117647058823529,0.2517647058823529,0.2941176470588235,0.2917647058823529,0.2905882352941176,0.2423529411764705,0.2823529411764706,0.2917647058823529,0.2694117647058823,0.2588235294117647,0.2670588235294117,0.2705882352941176,0.2988235294117647,0.2435294117647058,0.2941176470588235
Heartbeat,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.4097560975609756,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7121951219512195,0.6926829268292682,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7170731707317073,0.7219512195121951,0.7219512195121951,0.7121951219512195,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7170731707317073,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7219512195121951,0.7268292682926829,0.7219512195121951,0.7219512195121951
