,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.5421994884910486,0.5634517766497462,0.5025380710659898,0.5431472081218274,0.5329949238578681,0.5532994923857868,0.5406091370558376,0.5456852791878173,0.5304568527918782,0.5609137055837563,0.5304568527918782,0.6015228426395939,0.5558375634517766,0.5786802030456852,0.5609137055837563,0.5456852791878173,0.5710659898477157,0.5532994923857868,0.5456852791878173,0.5482233502538071,0.5380710659898477,0.6015228426395939,0.5532994923857868,0.5634517766497462,0.5583756345177665,0.550761421319797,0.5710659898477157,0.5888324873096447,0.5583756345177665,0.5482233502538071,4958.39362859726,4371.304759979248,4783.134554862976,4108.894419670105,3357.602182626724,2949.097795724869,3985.421539068222,3150.794213294983,4261.628281831741,2951.6555726528168,3050.679156064987,2953.288789987564,4150.979267597199,2941.553410768509,2942.870780467987,4381.193057775497,4350.088952064514,4356.357949495316,4396.1578912734985,4372.830061912537,4277.047927856445,4184.8690683841705,3973.196430444717,3370.354105949402,3255.755982398987,3212.567663669586,3094.736088514328,3003.731676340103,2636.512513399124,2535.6838161945343
ArrowHead,0.7371428571428571,0.8628571428571429,0.7885714285714286,0.8171428571428572,0.76,0.8114285714285714,0.7428571428571429,0.7828571428571428,0.8285714285714286,0.7542857142857143,0.8457142857142858,0.8228571428571428,0.8,0.7714285714285715,0.8057142857142857,0.7142857142857143,0.7714285714285715,0.8057142857142857,0.8171428571428572,0.76,0.7485714285714286,0.7314285714285714,0.8514285714285714,0.8285714285714286,0.7657142857142857,0.7657142857142857,0.7771428571428571,0.7714285714285715,0.7942857142857143,0.8057142857142857,1852.863723516464,2833.012382507324,2993.7703919410706,2854.2921953201294,1952.6669335365293,2100.598103046417,2071.1901893615723,1864.2512810230253,1975.1601729393003,3239.83157491684,1863.7555215358732,1876.033641576767,1857.1256964206696,2835.157357931137,1969.5418655872345,2894.0401635169983,2887.493298053741,2885.925049066544,2875.0742452144623,2868.381450176239,2793.287409067154,2768.333359479904,2760.858937501908,2673.425806045532,2647.8560502529144,1927.1621613502505,1920.167510747909,1906.2481787204745,1767.2047595977783,1586.2824063301086
Beef,0.7333333333333333,0.6333333333333333,0.5666666666666667,0.8,0.5,0.6666666666666666,0.5666666666666667,0.6,0.8333333333333334,0.5333333333333333,0.7,0.7,0.6333333333333333,0.6333333333333333,0.4333333333333333,0.7333333333333333,0.5666666666666667,0.7,0.7333333333333333,0.6333333333333333,0.5333333333333333,0.7666666666666667,0.6666666666666666,0.8,0.5,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5666666666666667,1969.2470078468325,1854.4879598617556,2230.387956142425,2041.1105954647064,1828.674322605133,2322.091041326523,1910.6120827198029,1831.6359016895292,1836.45059633255,1829.8307683467865,2123.778009414673,2242.969933032989,1818.163355112076,1848.4138691425323,2456.442710161209,2477.335862159729,2466.7989077568054,2465.315617799759,2458.3879346847534,2459.8042562007904,2443.511058807373,2439.976751327514,2381.505751132965,2336.6262414455414,2266.9965851306915,2176.5548932552338,2075.376344203949,2062.66343164444,1986.617847442627,1888.043051481247
BeetleFly,0.95,0.85,0.5,0.85,0.7,0.8,0.7,0.8,0.85,0.9,0.75,0.9,0.75,0.75,0.75,0.95,0.8,0.85,0.8,0.85,0.75,0.85,0.7,0.7,0.85,0.7,0.75,0.75,0.65,0.55,1219.0222599506378,1230.9325561523438,1335.8433165550232,1286.1231265068054,1232.042022705078,1272.4316840171814,1192.2580733299255,1283.8232288360596,1578.727012872696,1181.9280154705048,1199.594561100006,1183.3043603897097,1191.3724977970123,1354.9731571674347,1415.9389624595642,1515.1914377212524,1515.3713510036469,1510.0239119529724,1516.6377449035645,1502.6704330444336,1493.1389973163605,1482.279197692871,1471.2914583683014,1444.6102359294891,1430.5559663772583,1430.3930459022522,1379.901222229004,1358.5444505214691,1298.8840188980105,1181.8430819511414
BirdChicken,0.65,0.7,0.5,0.75,0.7,0.8,0.85,0.75,0.85,0.55,0.5,0.7,0.75,1.0,0.8,0.8,0.7,0.9,0.65,0.85,0.7,0.6,0.7,0.75,0.8,0.6,0.9,0.8,0.7,0.7,1221.8818895816803,1414.2337818145752,1832.9022977352145,1261.283024072647,1208.8931069374084,1195.436553955078,1332.0701234340668,1200.1193118095398,1250.4372153282166,1447.5998032093048,2667.4336750507355,1448.421408891678,1201.659573554993,1891.299333333969,1204.0564258098602,1750.518748998642,1746.477684020996,1750.1639184951782,1748.08491396904,1744.5795924663544,1729.317899942398,1727.5587437152865,1696.901423454285,1646.0437767505646,1561.9990224838257,1581.4667074680328,1516.6717278957367,1168.8872706890106,1151.5625739097595,762.0580942630768
Car,0.7666666666666667,0.7,0.7333333333333333,0.6166666666666667,0.85,0.7666666666666667,0.8,0.6833333333333333,0.8,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.75,0.7833333333333333,0.7833333333333333,0.65,0.7333333333333333,0.7166666666666667,0.8,0.7833333333333333,0.7,0.7666666666666667,0.7833333333333333,0.7333333333333333,0.7166666666666667,0.75,0.7,0.7333333333333333,0.8166666666666667,0.75,3315.832184076309,2003.5775694847107,1913.0609135627749,2814.5592222213745,2245.211857318878,2069.0831999778748,1914.4502453804016,2108.851153612137,2113.639861106873,1947.9721930027008,1913.578662633896,2036.4678170681,2459.1743998527527,1901.9132506847384,2044.6329073905945,2835.3482689857483,2819.457877397537,2827.331106901169,2813.67164850235,2783.26421046257,2749.69628405571,2698.68071269989,2691.01538348198,2680.403465032577,2633.6118714809418,2628.640252351761,2505.548197031021,2290.9499595165253,1974.3265883922577,1629.293807029724
CBF,0.9477777777777778,0.9144444444444444,0.9444444444444444,0.8866666666666667,0.8811111111111111,0.9722222222222222,0.8888888888888888,0.9088888888888887,0.9444444444444444,0.9411111111111112,0.9611111111111112,0.9166666666666666,0.9311111111111112,0.9255555555555556,0.9533333333333334,0.8977777777777778,0.9366666666666666,0.9166666666666666,0.9355555555555556,0.9322222222222222,0.9522222222222222,0.9511111111111112,0.9477777777777778,0.8622222222222222,0.9444444444444444,0.9755555555555556,0.9444444444444444,0.9544444444444444,0.9455555555555556,0.9688888888888888,4457.635421514511,1955.794448375702,3123.013517141342,4478.930221557617,2736.016833305359,1926.0337014198303,3167.784072637558,1880.6224443912504,3188.733043432236,2957.19091629982,2260.075741052628,4426.81217956543,3156.9132838249207,2347.955658435821,1974.0477080345156,2438.737189054489,2593.5870440006256,2358.030836582184,2368.234950065613,2071.327126979828,2061.416872024536,1761.4954931735992,1448.0645818710327,1229.7751111984253,1279.0115337371826,1234.2989447116852,1301.0989573001862,1218.1826627254486,1237.0346355438232,1245.7124886512756
ChlorineConcentration,0.6567708333333333,0.6365529809945327,0.6308253059099193,0.6706586826347305,0.644103098151523,0.6461858890913824,0.6425410049466285,0.6854985680812289,0.6308253059099193,0.6659724030200469,0.6102577453788076,0.6269200728976829,0.6605050768029159,0.6727414735745899,0.6498307732361365,0.6508721687060661,0.6594636813329862,0.6274407706326477,0.6628482166102577,0.6789898463941682,0.6644103098151523,0.6396771674043218,0.6685758916948711,0.6482686800312418,0.6448841447539703,0.6539963551158553,0.655037750585785,0.6201510023431398,0.6167664670658682,0.6290028638375423,3680.8503918647766,3568.9789588451385,3616.207339525223,3851.052886009216,4536.507649660111,5403.563452243805,4720.115726232529,4667.043143033981,3659.0098497867584,5512.177443027496,5414.843053340912,6201.562325716019,4648.551000118256,3576.418399810791,5344.728629589081,5179.842586994171,5171.270691394806,5098.038759469986,5079.451660871506,4943.740646600723,5004.860378980637,4274.876937627792,4177.6205098629,4099.895728349686,4115.001495838165,3454.393832921982,3490.912345647812,3435.832721233368,3352.678539991379,2757.8393902778625
CinCECGTorso,0.8014492753623188,0.8144927536231884,0.8572463768115942,0.7572463768115942,0.927536231884058,0.9492753623188406,0.8065217391304348,0.881159420289855,0.8333333333333334,0.827536231884058,0.855072463768116,0.894927536231884,0.8594202898550725,0.8565217391304348,0.7985507246376812,0.8659420289855072,0.7847826086956522,0.8768115942028986,0.7985507246376812,0.8963768115942029,0.9072463768115944,0.8543478260869565,0.8014492753623188,0.8992753623188405,0.8231884057971014,0.8456521739130435,0.8565217391304348,0.8340579710144927,0.9108695652173912,0.8739130434782608,5158.485812902451,4124.065140724182,2364.5697042942047,4687.999102115631,3901.021953344345,2595.8989152908325,3741.256464958191,2813.345802783966,2357.097281217575,2778.7693617343903,2723.930621147156,4331.094016313553,3379.886510372162,2799.0796344280243,2307.778898715973,3443.372111082077,3483.641827821732,3465.451538324356,3239.20687699318,3076.9825603961945,2981.355352640152,3101.73370718956,2975.7410395145416,2475.517576932907,2166.717448949814,1988.3708517551424,1807.0816633701324,1592.2125556468964,1308.3854775428772,1094.89271569252
