,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.5370843989769821,0.5304568527918782,0.5050761421319797,0.4974619289340101,0.5279187817258884,0.5279187817258884,0.5406091370558376,0.5050761421319797,0.5152284263959391,0.5558375634517766,0.4847715736040609,0.5634517766497462,0.5228426395939086,0.5380710659898477,0.5355329949238579,0.5152284263959391,0.5203045685279187,0.5329949238578681,0.5456852791878173,0.5482233502538071,0.5355329949238579,0.5431472081218274,0.5228426395939086,0.5203045685279187,0.5253807106598984,0.5228426395939086,0.5482233502538071,0.5380710659898477,0.5126903553299492,0.5380710659898477,79.35239768028259,77.01465797424316,80.00837087631226,77.89768767356873,83.20501518249512,84.2243824005127,78.78919911384583,61.131192684173584,60.515371799468994,60.22119498252869,60.09934186935425,61.91471481323242,66.7764961719513,67.8740746974945,60.9133927822113,60.39646983146668,60.87920331954956,60.71942615509033,64.80082440376282,66.53012323379517,66.07035565376282,62.61236381530762,62.823397159576416,62.4262924194336,63.63951563835144,61.99859189987183,56.988932609558105,55.76894903182984,34.33519124984741,33.8021342754364
ArrowHead,0.7028571428571428,0.84,0.8,0.8342857142857143,0.7771428571428571,0.8,0.7542857142857143,0.7657142857142857,0.8171428571428572,0.7714285714285715,0.8514285714285714,0.8342857142857143,0.8057142857142857,0.7885714285714286,0.8342857142857143,0.72,0.7657142857142857,0.8114285714285714,0.8457142857142858,0.7828571428571428,0.8057142857142857,0.7371428571428571,0.8228571428571428,0.8171428571428572,0.7428571428571429,0.76,0.7485714285714286,0.7885714285714286,0.7771428571428571,0.7885714285714286,58.60544800758362,58.34361457824707,57.80995726585388,57.79276394844055,58.53768014907837,59.55390429496765,59.26754140853882,41.96259021759033,42.2121787071228,41.84784460067749,46.42132329940796,42.26637291908264,42.16615867614746,42.65997576713562,42.20988440513611,42.60697865486145,41.98702144622803,42.46497964859009,42.89666795730591,42.68336796760559,43.839112997055054,42.75681471824646,42.916990518569946,42.839168071746826,42.73690438270569,42.18814754486084,41.8447539806366,40.535470485687256,26.98734021186829,26.883318424224854
Beef,0.6,0.5,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.7333333333333333,0.5,0.6333333333333333,0.7333333333333333,0.5666666666666667,0.6333333333333333,0.5666666666666667,0.6,0.5,0.5,0.6333333333333333,0.5333333333333333,0.7,0.6333333333333333,0.5666666666666667,0.5,0.5666666666666667,0.6333333333333333,0.6,0.6,0.6666666666666666,0.6333333333333333,0.5333333333333333,0.6333333333333333,0.4666666666666667,78.90378904342651,78.99646139144897,79.81120443344116,79.32699990272522,79.05792212486267,79.79171442985535,80.66496515274048,64.03897261619568,64.04997730255127,64.97246837615967,64.42764377593994,63.97639083862305,64.52177429199219,64.6781952381134,64.2754864692688,64.49305725097656,63.84643793106079,64.02449488639832,64.72225499153137,64.56510877609253,65.24703001976013,64.38002157211304,64.77258014678955,64.06164836883545,64.21221208572388,64.09970188140869,64.43519902229309,63.72676229476929,43.23721623420715,43.17254447937012
BeetleFly,0.9,0.85,0.6,0.85,0.75,0.75,0.7,0.85,0.85,0.8,0.65,0.85,0.75,0.7,0.7,0.9,0.8,0.8,0.8,0.85,0.8,0.8,0.65,0.7,0.75,0.7,0.85,0.7,0.8,0.6,80.18544745445251,79.87559151649475,80.25414037704468,80.92653465270996,79.64290308952332,80.62263131141663,80.05627179145813,65.73616909980774,66.2950930595398,65.5656635761261,65.24233818054199,65.19632768630981,66.32726573944092,66.5748519897461,65.92475628852844,65.33733701705933,65.49728393554688,66.07165145874023,66.18457293510437,66.44376492500305,66.6032600402832,65.61427783966064,65.97526502609253,64.97357082366943,65.39357876777649,65.91200828552246,65.27985525131226,65.60883855819702,43.665908098220825,43.53090691566467
BirdChicken,0.6,0.75,0.5,0.7,0.65,0.75,0.9,0.75,0.85,0.5,0.55,0.75,0.8,1.0,0.85,0.8,0.65,0.9,0.65,0.85,0.8,0.6,0.75,0.7,0.85,0.55,0.85,0.8,0.75,0.7,80.64523506164551,80.6170494556427,79.28655934333801,79.991126537323,80.1595094203949,80.26200580596924,80.55286598205566,65.34210467338562,64.97045397758484,65.48731756210327,65.5417947769165,65.74553680419922,66.09935140609741,66.03194761276245,66.28151035308838,65.87611603736877,65.64283275604248,66.02909207344055,65.63801336288452,66.0492250919342,66.158118724823,65.84201765060425,65.2844705581665,65.7244668006897,65.85200023651123,66.0249080657959,65.9340226650238,65.1191828250885,42.903236865997314,42.91402864456177
Car,0.7,0.7,0.8166666666666667,0.5666666666666667,0.8166666666666667,0.7166666666666667,0.7333333333333333,0.7,0.75,0.6666666666666666,0.6833333333333333,0.75,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.7,0.8166666666666667,0.75,0.7,0.7166666666666667,0.7666666666666667,0.75,0.7166666666666667,0.7666666666666667,0.65,0.7833333333333333,0.8,0.7666666666666667,116.83159160614014,103.12867259979248,102.98913788795473,103.8104121685028,103.02750706672668,102.88285231590272,103.62617540359496,90.45983743667604,90.2717559337616,90.81249117851256,91.05335187911987,91.12248015403748,90.40685391426086,93.46810340881348,90.82965683937071,90.6846342086792,90.4099895954132,90.80747246742249,90.87063145637512,91.0586323738098,94.30660915374756,90.44560647010805,90.4485685825348,90.6042160987854,90.39532995224,90.67067384719849,90.37182950973512,86.36112380027771,65.26337385177612,65.06702828407288
CBF,0.95,0.9011111111111112,0.9333333333333332,0.8933333333333333,0.8844444444444445,0.9677777777777776,0.8877777777777778,0.9122222222222224,0.9555555555555556,0.94,0.98,0.9166666666666666,0.9177777777777778,0.9311111111111112,0.9566666666666668,0.9055555555555556,0.9344444444444444,0.9333333333333332,0.9333333333333332,0.9377777777777778,0.9466666666666668,0.95,0.9388888888888888,0.8755555555555555,0.9233333333333332,0.9688888888888888,0.94,0.9466666666666668,0.9344444444444444,0.9622222222222222,53.29426074028015,44.39144062995911,46.05236220359802,45.23679184913635,46.212215423583984,46.589582204818726,47.06974649429321,32.628108739852905,32.4397189617157,32.26471471786499,31.893325328826904,32.66243767738342,32.44929790496826,36.43339014053345,32.333213567733765,31.86282992362976,31.44330358505249,32.061121225357056,32.4730966091156,33.44325375556946,36.523131370544434,32.3614137172699,32.20350694656372,32.269776821136475,32.51095795631409,31.83419704437256,31.3361291885376,26.915919065475464,22.31462454795837,22.14719152450561
ChlorineConcentration,0.5916666666666667,0.6092163499088779,0.5639156469669357,0.6001041395469929,0.5907315803176256,0.571465764123926,0.576933090341057,0.6063525123665712,0.5816193699557407,0.6154647227284561,0.5727675084613382,0.5659984379067952,0.5730278573288207,0.5925540223900027,0.5883884405102838,0.5735485550637854,0.5756313460036449,0.5633949492319709,0.6011455350169227,0.6092163499088779,0.5813590210882583,0.5751106482686801,0.5904712314501432,0.6029679770892996,0.5771934392085395,0.5850039052330123,0.5891694871127311,0.573288206196303,0.559229367352252,0.5597500650872169,169.21316695213318,165.57232403755188,169.072776556015,163.60356259346008,166.17814683914185,181.46343541145325,181.4569389820099,153.4608759880066,153.26940822601318,152.3807508945465,151.34569358825684,151.0870623588562,157.97931385040283,157.80420637130737,152.01522517204285,151.78544068336487,151.45860123634338,151.2672381401062,153.45542645454407,159.9853527545929,159.8628287315369,153.62344527244568,153.22831678390503,153.32269096374512,153.40124821662903,151.5815155506134,138.69769382476807,138.40365290641785,80.76819372177124,79.89317178726196
CinCECGTorso,0.782608695652174,0.782608695652174,0.8471014492753624,0.7753623188405797,0.8427536231884057,0.8797101449275362,0.7811594202898551,0.868840579710145,0.7789855072463768,0.8260869565217391,0.7934782608695652,0.8210144927536231,0.8028985507246377,0.8340579710144927,0.7768115942028986,0.863768115942029,0.7507246376811594,0.8391304347826087,0.7913043478260869,0.8065217391304348,0.8963768115942029,0.7927536231884058,0.7724637681159421,0.8789855072463768,0.8108695652173913,0.8144927536231884,0.8297101449275363,0.7985507246376812,0.8913043478260869,0.8028985507246377,1658.6767826080322,1467.2912516593933,1480.339075088501,1463.1780676841736,1484.2901151180267,1492.7499182224274,1509.4410953521729,1604.4097218513489,1602.3828928470612,1596.4134585857391,1594.9168953895569,1605.6549987792969,1612.4499661922457,1699.439543247223,1498.1490564346311,1496.0704369544983,1510.3958389759064,1508.7938911914823,1534.4984464645386,1577.7005875110626,1679.36789727211,1493.1233496665957,1492.9079279899595,1497.173478603363,1501.329392671585,1478.963886976242,1444.551565408707,1364.1532442569733,996.7703623771667,994.8854937553406
