,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.6010230179028133,0.6446700507614214,0.5913705583756346,0.6142131979695431,0.583756345177665,0.5913705583756346,0.631979695431472,0.6065989847715736,0.5939086294416244,0.6472081218274112,0.6142131979695431,0.649746192893401,0.6243654822335025,0.6142131979695431,0.6675126903553299,0.6294416243654822,0.6624365482233503,0.5989847715736041,0.6065989847715736,0.6116751269035533,0.6091370558375635,0.6751269035532995,0.6218274111675127,0.6421319796954315,0.6421319796954315,0.6091370558375635,0.6269035532994924,0.6091370558375635,0.5989847715736041,0.6395939086294417
ArrowHead,0.6971428571428572,0.8571428571428571,0.7828571428571428,0.84,0.7828571428571428,0.8114285714285714,0.7371428571428571,0.7714285714285715,0.84,0.8228571428571428,0.8628571428571429,0.84,0.8057142857142857,0.7942857142857143,0.8571428571428571,0.7371428571428571,0.7885714285714286,0.7828571428571428,0.8228571428571428,0.7885714285714286,0.8,0.72,0.8514285714285714,0.8171428571428572,0.7314285714285714,0.8,0.7771428571428571,0.8171428571428572,0.8171428571428572,0.8
Beef,0.8333333333333334,0.6,0.5666666666666667,0.7666666666666667,0.4,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7,0.6333333333333333,0.7,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.8,0.6,0.7,0.7,0.7,0.6666666666666666,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.8,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7666666666666667
BeetleFly,0.85,0.8,0.5,0.7,0.8,0.75,0.75,0.8,0.85,0.75,0.6,0.7,0.8,0.75,0.7,0.8,0.85,0.75,0.8,0.85,0.8,0.75,0.65,0.6,0.7,0.85,0.75,0.7,0.7,0.6
BirdChicken,0.65,0.75,0.55,0.75,0.75,0.85,0.85,0.8,0.85,0.55,0.55,0.75,0.75,1.0,0.75,0.8,0.7,0.85,0.6,0.85,0.8,0.65,0.75,0.7,0.85,0.55,0.9,0.85,0.75,0.75
Car,0.7166666666666667,0.75,0.7666666666666667,0.6,0.8,0.7666666666666667,0.75,0.75,0.8,0.7166666666666667,0.7166666666666667,0.8333333333333334,0.7666666666666667,0.7666666666666667,0.8,0.6333333333333333,0.7166666666666667,0.7666666666666667,0.8333333333333334,0.7333333333333333,0.7,0.75,0.7833333333333333,0.7666666666666667,0.6833333333333333,0.7166666666666667,0.6333333333333333,0.7833333333333333,0.7833333333333333,0.75
CBF,0.9455555555555556,0.8977777777777778,0.9388888888888888,0.8822222222222222,0.8777777777777778,0.97,0.89,0.9055555555555556,0.9544444444444444,0.9366666666666666,0.9611111111111112,0.9233333333333332,0.9233333333333332,0.9366666666666666,0.9555555555555556,0.8922222222222222,0.9322222222222222,0.9255555555555556,0.9266666666666666,0.94,0.9566666666666668,0.95,0.9433333333333334,0.8733333333333333,0.8966666666666666,0.9666666666666668,0.9355555555555556,0.9544444444444444,0.9311111111111112,0.9611111111111112
ChlorineConcentration,0.6598958333333333,0.6443634470190055,0.6386357719343921,0.6545170528508201,0.6532153085134079,0.6237958864878937,0.6537360062483728,0.6750846133819318,0.6529549596459255,0.6675344962249414,0.621452746680552,0.6211923978130696,0.6461858890913824,0.6597240302004687,0.6472272845613122,0.6498307732361365,0.6565998437906795,0.6253579796927884,0.6651913564175996,0.6774277531892736,0.658161936995574,0.624576933090341,0.6534756573808904,0.6532153085134079,0.6407185628742516,0.6428013538141109,0.6448841447539703,0.6378547253319448,0.6170268159333507,0.6266597240302004
CinCECGTorso,0.7978260869565217,0.8014492753623188,0.8695652173913043,0.7782608695652173,0.913768115942029,0.936231884057971,0.8391304347826087,0.8797101449275362,0.8130434782608695,0.8442028985507246,0.855072463768116,0.8847826086956522,0.8528985507246377,0.8695652173913043,0.8043478260869565,0.863768115942029,0.7862318840579711,0.8782608695652174,0.8014492753623188,0.8833333333333333,0.910144927536232,0.8202898550724638,0.8072463768115942,0.8963768115942029,0.8623188405797102,0.8557971014492753,0.8717391304347826,0.8094202898550724,0.9144927536231884,0.8797101449275362
Coffee,0.9642857142857144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,1.0,0.8928571428571429,1.0,1.0,0.9642857142857144,0.9642857142857144,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,1.0
Computers,0.608,0.64,0.66,0.624,0.604,0.616,0.6,0.684,0.644,0.672,0.604,0.644,0.62,0.62,0.612,0.648,0.628,0.672,0.664,0.664,0.632,0.616,0.644,0.58,0.64,0.588,0.628,0.648,0.64,0.6
CricketX,0.6256410256410256,0.6818181818181818,0.6994949494949495,0.6565656565656566,0.6767676767676768,0.6843434343434344,0.696969696969697,0.6818181818181818,0.6843434343434344,0.6666666666666666,0.6666666666666666,0.6919191919191919,0.6666666666666666,0.6994949494949495,0.7121212121212122,0.6893939393939394,0.6792929292929293,0.6818181818181818,0.6843434343434344,0.6742424242424242,0.6893939393939394,0.6868686868686869,0.6742424242424242,0.6868686868686869,0.6616161616161617,0.7070707070707071,0.6237373737373737,0.6792929292929293,0.6616161616161617,0.6767676767676768
CricketY,0.6487179487179487,0.648989898989899,0.6338383838383839,0.6515151515151515,0.6515151515151515,0.6843434343434344,0.6414141414141414,0.648989898989899,0.6363636363636364,0.6565656565656566,0.6641414141414141,0.6338383838383839,0.6060606060606061,0.5984848484848485,0.6464646464646465,0.6338383838383839,0.6060606060606061,0.6464646464646465,0.6767676767676768,0.6565656565656566,0.6792929292929293,0.6919191919191919,0.6666666666666666,0.6742424242424242,0.6212121212121212,0.6060606060606061,0.6186868686868687,0.6565656565656566,0.6439393939393939,0.6540404040404041
