,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.6010230179028133,0.6573604060913706,0.5786802030456852,0.616751269035533,0.5812182741116751,0.6142131979695431,0.6218274111675127,0.5761421319796954,0.6040609137055838,0.6370558375634517,0.6142131979695431,0.6725888324873096,0.6446700507614214,0.6243654822335025,0.6751269035532995,0.6370558375634517,0.6624365482233503,0.6065989847715736,0.6091370558375635,0.6294416243654822,0.6395939086294417,0.6776649746192893,0.6345177664974619,0.6370558375634517,0.6573604060913706,0.6192893401015228,0.6269035532994924,0.616751269035533,0.6065989847715736,0.649746192893401
ArrowHead,0.6914285714285714,0.8514285714285714,0.7885714285714286,0.84,0.7771428571428571,0.8057142857142857,0.7257142857142858,0.7714285714285715,0.84,0.8114285714285714,0.8514285714285714,0.84,0.8,0.7942857142857143,0.8457142857142858,0.7314285714285714,0.7771428571428571,0.7885714285714286,0.84,0.7885714285714286,0.8057142857142857,0.7142857142857143,0.8571428571428571,0.8228571428571428,0.7428571428571429,0.8,0.7657142857142857,0.7942857142857143,0.8228571428571428,0.8057142857142857
Beef,0.8333333333333334,0.6333333333333333,0.5666666666666667,0.7666666666666667,0.4,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7,0.6333333333333333,0.7,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.7666666666666667,0.6,0.7333333333333333,0.7,0.7,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.8,0.7,0.7333333333333333,0.7333333333333333,0.7666666666666667
BeetleFly,0.85,0.8,0.5,0.75,0.8,0.75,0.75,0.8,0.85,0.75,0.65,0.7,0.75,0.75,0.7,0.75,0.85,0.75,0.75,0.85,0.75,0.8,0.65,0.6,0.7,0.85,0.75,0.7,0.7,0.6
BirdChicken,0.7,0.75,0.55,0.75,0.65,0.85,0.85,0.8,0.85,0.55,0.55,0.75,0.75,1.0,0.8,0.85,0.7,0.85,0.6,0.85,0.8,0.65,0.75,0.7,0.85,0.55,0.9,0.85,0.8,0.75
Car,0.7166666666666667,0.7333333333333333,0.7666666666666667,0.6,0.8,0.7666666666666667,0.75,0.75,0.8,0.7333333333333333,0.7166666666666667,0.8333333333333334,0.7333333333333333,0.75,0.8166666666666667,0.6333333333333333,0.7166666666666667,0.7666666666666667,0.85,0.7333333333333333,0.7,0.7666666666666667,0.8,0.7666666666666667,0.6666666666666666,0.7166666666666667,0.6833333333333333,0.7833333333333333,0.8,0.7666666666666667
CBF,0.94,0.8944444444444445,0.9333333333333332,0.8788888888888889,0.8622222222222222,0.9644444444444444,0.8866666666666667,0.9011111111111112,0.9522222222222222,0.9344444444444444,0.9544444444444444,0.9177777777777778,0.9133333333333332,0.9277777777777778,0.9544444444444444,0.8866666666666667,0.9266666666666666,0.9188888888888888,0.9188888888888888,0.9322222222222222,0.9555555555555556,0.9466666666666668,0.9344444444444444,0.8577777777777778,0.88,0.9666666666666668,0.9244444444444444,0.9511111111111112,0.9244444444444444,0.9611111111111112
ChlorineConcentration,0.6630208333333333,0.649570424368654,0.6433220515490757,0.6579015881280916,0.6552980994532673,0.6274407706326477,0.6579015881280916,0.6774277531892736,0.6500911221036189,0.6688362405623536,0.6253579796927884,0.6206717000781047,0.6487893777662067,0.6607654256703983,0.6493100755011716,0.6508721687060661,0.6592033324655038,0.6258786774277532,0.6677948450924238,0.6730018224420724,0.6612861234053632,0.6258786774277532,0.6547774017183026,0.6524342619109607,0.6428013538141109,0.6433220515490757,0.649570424368654,0.6386357719343921,0.6118198385837021,0.6290028638375423
CinCECGTorso,0.808695652173913,0.7913043478260869,0.8659420289855072,0.7760869565217391,0.9166666666666666,0.9289855072463769,0.85,0.8746376811594203,0.8115942028985508,0.8391304347826087,0.8594202898550725,0.8833333333333333,0.8471014492753624,0.8739130434782608,0.8043478260869565,0.8659420289855072,0.7869565217391304,0.8797101449275362,0.803623188405797,0.8724637681159421,0.9036231884057973,0.8181159420289855,0.8043478260869565,0.8920289855072464,0.8608695652173913,0.8543478260869565,0.8775362318840579,0.8050724637681159,0.9108695652173912,0.881159420289855
Coffee,0.9642857142857144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,1.0,0.9642857142857144,1.0,1.0,0.8928571428571429,1.0,1.0,0.9642857142857144,0.9642857142857144,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,1.0
Computers,0.604,0.636,0.664,0.624,0.596,0.616,0.612,0.68,0.648,0.664,0.596,0.64,0.616,0.62,0.616,0.648,0.628,0.672,0.664,0.66,0.632,0.62,0.648,0.576,0.632,0.592,0.632,0.644,0.644,0.596
CricketX,0.6256410256410256,0.6767676767676768,0.6994949494949495,0.6691919191919192,0.6742424242424242,0.6792929292929293,0.6868686868686869,0.6666666666666666,0.6893939393939394,0.6691919191919192,0.6717171717171717,0.6944444444444444,0.6767676767676768,0.6919191919191919,0.7095959595959596,0.6843434343434344,0.6893939393939394,0.6843434343434344,0.6717171717171717,0.6717171717171717,0.6792929292929293,0.6893939393939394,0.6641414141414141,0.6792929292929293,0.6590909090909091,0.7045454545454546,0.6313131313131313,0.6792929292929293,0.6666666666666666,0.6818181818181818
CricketY,0.6461538461538462,0.6439393939393939,0.6388888888888888,0.6464646464646465,0.6439393939393939,0.6767676767676768,0.6338383838383839,0.6464646464646465,0.6363636363636364,0.6540404040404041,0.6616161616161617,0.6287878787878788,0.6060606060606061,0.5909090909090909,0.6414141414141414,0.6287878787878788,0.5959595959595959,0.6515151515151515,0.6616161616161617,0.6540404040404041,0.6717171717171717,0.6818181818181818,0.6590909090909091,0.6590909090909091,0.6186868686868687,0.6060606060606061,0.6111111111111112,0.6641414141414141,0.6439393939393939,0.6565656565656566
CricketZ,0.6692307692307692,0.6641414141414141,0.6868686868686869,0.6868686868686869,0.648989898989899,0.6590909090909091,0.6792929292929293,0.6313131313131313,0.7045454545454546,0.6994949494949495,0.6388888888888888,0.6868686868686869,0.6843434343434344,0.6843434343434344,0.6717171717171717,0.6666666666666666,0.6843434343434344,0.6565656565656566,0.6717171717171717,0.6843434343434344,0.6717171717171717,0.6893939393939394,0.6818181818181818,0.6843434343434344,0.6565656565656566,0.6868686868686869,0.6717171717171717,0.6590909090909091,0.6691919191919192,0.6515151515151515
DiatomSizeReduction,0.9117647058823528,0.940983606557377,0.898360655737705,0.8950819672131147,0.9639344262295082,0.9540983606557376,0.960655737704918,0.9672131147540984,0.9475409836065574,0.9704918032786886,0.9245901639344264,0.960655737704918,0.8950819672131147,0.9573770491803278,0.9573770491803278,0.9016393442622952,0.9049180327868852,0.9377049180327868,0.9672131147540984,0.940983606557377,0.9737704918032788,0.9049180327868852,0.918032786885246,0.9475409836065574,0.9245901639344264,0.9442622950819672,0.9245901639344264,0.9639344262295082,0.9573770491803278,0.960655737704918
DistalPhalanxOutlineAgeGroup,0.7266187050359713,0.7913669064748201,0.8345323741007195,0.7985611510791367,0.7985611510791367,0.8057553956834532,0.8057553956834532,0.7985611510791367,0.7841726618705036,0.8129496402877698,0.8129496402877698,0.8489208633093526,0.8561151079136691,0.7913669064748201,0.8201438848920863,0.8057553956834532,0.8129496402877698,0.7985611510791367,0.7985611510791367,0.8057553956834532,0.762589928057554,0.8489208633093526,0.7841726618705036,0.7697841726618705,0.8345323741007195,0.7985611510791367,0.8561151079136691,0.8057553956834532,0.7553956834532374,0.7841726618705036
DistalPhalanxOutlineCorrect,0.7681159420289855,0.782608695652174,0.7355072463768116,0.7898550724637681,0.7753623188405797,0.6340579710144928,0.7572463768115942,0.7971014492753623,0.782608695652174,0.8405797101449275,0.8260869565217391,0.7789855072463768,0.7608695652173914,0.7210144927536232,0.7789855072463768,0.8333333333333334,0.7427536231884058,0.7608695652173914,0.7391304347826086,0.7898550724637681,0.7681159420289855,0.8007246376811594,0.7971014492753623,0.8007246376811594,0.8115942028985508,0.7934782608695652,0.7971014492753623,0.8043478260869565,0.7971014492753623,0.8043478260869565
DistalPhalanxTW,0.6690647482014388,0.7553956834532374,0.7841726618705036,0.762589928057554,0.7194244604316546,0.7410071942446043,0.7913669064748201,0.7985611510791367,0.7050359712230215,0.762589928057554,0.7410071942446043,0.7553956834532374,0.762589928057554,0.7553956834532374,0.7913669064748201,0.762589928057554,0.7697841726618705,0.762589928057554,0.7194244604316546,0.762589928057554,0.7697841726618705,0.7769784172661871,0.7122302158273381,0.7122302158273381,0.7482014388489209,0.7553956834532374,0.7697841726618705,0.7841726618705036,0.7338129496402878,0.7553956834532374
Earthquakes,0.7482014388489209,0.7985611510791367,0.7985611510791367,0.8129496402877698,0.7985611510791367,0.7985611510791367,0.7985611510791367,0.8057553956834532,0.7985611510791367,0.7985611510791367,0.8057553956834532,0.7985611510791367,0.7913669064748201,0.7913669064748201,0.7985611510791367,0.7913669064748201,0.7985611510791367,0.8057553956834532,0.7985611510791367,0.7985611510791367,0.7985611510791367,0.7985611510791367,0.7985611510791367,0.7913669064748201,0.7985611510791367,0.7985611510791367,0.7913669064748201,0.8057553956834532,0.7985611510791367,0.7913669064748201
ECG200,0.88,0.88,0.91,0.9,0.88,0.88,0.87,0.9,0.84,0.87,0.83,0.9,0.84,0.83,0.84,0.94,0.87,0.89,0.93,0.86,0.79,0.9,0.88,0.89,0.93,0.86,0.79,0.9,0.94,0.86
ECG5000,0.94,0.9426666666666668,0.9417777777777778,0.9451111111111112,0.9455555555555556,0.9391111111111112,0.944,0.9355555555555556,0.9453333333333334,0.9431111111111112,0.9466666666666668,0.9391111111111112,0.9402222222222222,0.9366666666666666,0.9417777777777778,0.9442222222222222,0.9431111111111112,0.9442222222222222,0.9417777777777778,0.9448888888888888,0.9435555555555556,0.9331111111111112,0.944,0.9428888888888888,0.942,0.9428888888888888,0.9426666666666668,0.9388888888888888,0.9457777777777778,0.9386666666666666
ECGFiveDays,0.9256678281068524,0.8988372093023256,0.9465116279069768,0.9325581395348838,0.9732558139534884,0.8639534883720931,0.9151162790697674,0.8732558139534884,0.9069767441860463,0.8709302325581395,0.9395348837209302,0.9011627906976744,0.6930232558139535,0.8662790697674418,0.9395348837209302,0.8906976744186047,0.9302325581395348,0.922093023255814,0.913953488372093,0.905813953488372,0.8976744186046511,0.8767441860465116,0.8441860465116279,0.9267441860465117,0.8953488372093024,0.8883720930232558,0.913953488372093,0.8802325581395349,0.9209302325581395,0.9395348837209302
ElectricDevices,0.6709894955258722,0.7696498054474709,0.7748378728923476,0.7695201037613489,0.7656290531776914,0.7723735408560312,0.7701686121919585,0.7712062256809339,0.7642023346303501,0.7654993514915693,0.7748378728923476,0.7704280155642024,0.7747081712062257,0.7656290531776914,0.7690012970168613,0.7690012970168613,0.772632944228275,0.7682230869001297,0.7610894941634241,0.7667963683527886,0.7757457846952011,0.7683527885862517,0.7666666666666667,0.7700389105058366,0.7692607003891051,0.7586251621271076,0.7797665369649806,0.7717250324254216,0.7680933852140078,0.7718547341115435
