,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time,Run Time
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.5447570332480819,0.5532994923857868,0.5025380710659898,0.5203045685279187,0.5177664974619289,0.5380710659898477,0.550761421319797,0.5583756345177665,0.5558375634517766,0.5761421319796954,0.5279187817258884,0.5913705583756346,0.5634517766497462,0.5532994923857868,0.5761421319796954,0.5583756345177665,0.5685279187817259,0.5076142131979695,0.5482233502538071,0.5380710659898477,0.5736040609137056,0.5761421319796954,0.5532994923857868,0.5532994923857868,0.5888324873096447,0.5355329949238579,0.5685279187817259,0.5279187817258884,0.5431472081218274,0.5913705583756346,45.87982439994812,45.94700312614441,47.7093870639801,44.65616035461426,47.63541841506958,49.08649682998657,52.002360105514526,18.44160223007202,19.31571245193481,19.27870225906372,18.222883701324463,20.916552543640137,20.632471799850464,19.97243857383728,19.51627826690674,18.653094053268436,19.330735206604004,20.53300666809082,20.160484075546265,20.240381479263306,20.710865020751957,19.070804357528687,19.27215051651001,18.658185958862305,19.246150255203247,18.075535535812374,17.2155818939209,15.679136753082275,11.30350923538208,10.780904531478882
ArrowHead,0.72,0.8514285714285714,0.7885714285714286,0.84,0.8114285714285714,0.7942857142857143,0.7257142857142858,0.7828571428571428,0.8285714285714286,0.8,0.8628571428571429,0.8457142857142858,0.7942857142857143,0.7771428571428571,0.8514285714285714,0.7257142857142858,0.7771428571428571,0.7485714285714286,0.8285714285714286,0.7714285714285715,0.8285714285714286,0.7257142857142858,0.8342857142857143,0.8285714285714286,0.7314285714285714,0.7771428571428571,0.7885714285714286,0.7885714285714286,0.7885714285714286,0.7942857142857143,41.11662983894348,42.40089917182922,41.910186767578125,41.66478037834168,41.86942529678345,42.313708782196045,43.07772135734558,19.610811948776245,14.19490385055542,14.49860692024231,14.0197114944458,14.25636386871338,14.497417211532593,14.900397062301636,14.267883777618408,14.076870441436768,14.2507586479187,14.230477809906006,14.752848148345947,14.725502729415894,15.54560923576355,14.280439853668211,14.359100818634031,14.225488185882568,14.446492433547974,14.041013956069946,13.24404788017273,12.036673307418823,9.27612280845642,9.209803342819214
Beef,0.7333333333333333,0.6666666666666666,0.5666666666666667,0.7333333333333333,0.4666666666666667,0.6666666666666666,0.6,0.6333333333333333,0.8333333333333334,0.5333333333333333,0.6,0.6666666666666666,0.7,0.5666666666666667,0.5333333333333333,0.6666666666666666,0.5666666666666667,0.6333333333333333,0.6,0.6333333333333333,0.5666666666666667,0.7666666666666667,0.7333333333333333,0.7333333333333333,0.6333333333333333,0.7,0.6333333333333333,0.6666666666666666,0.7,0.6666666666666666,44.93033409118652,45.702702045440674,45.43207287788391,44.59896492958069,45.587485551834106,45.18441939353943,46.02074813842773,27.5309636592865,27.91128754615784,27.62025022506714,27.83072328567505,27.5058753490448,27.72714638710022,28.018426418304443,21.56448483467102,21.45852851867676,21.372530460357662,21.35450553894043,21.702778577804565,21.120824575424194,21.294119834899902,16.1723153591156,16.093513250350952,16.337501287460327,16.149085998535156,16.27114248275757,16.025153160095215,15.698197364807127,11.520570516586304,11.391924142837524
BeetleFly,0.85,0.85,0.5,0.75,0.8,0.75,0.75,0.8,0.85,0.8,0.65,0.8,0.7,0.65,0.7,0.8,0.85,0.8,0.75,0.85,0.75,0.75,0.7,0.6,0.7,0.8,0.8,0.7,0.6,0.45,31.817521810531616,31.739975690841675,32.21391463279724,32.2170307636261,32.139365673065186,32.02253770828247,32.53345775604248,16.240050315856934,16.318654775619507,16.168944835662842,16.293110370635986,16.670688152313232,16.783402681350708,16.76219606399536,16.265833854675293,16.242952585220337,16.441533088684082,16.419283390045166,16.563414335250854,16.619239807128906,16.56139874458313,16.25473380088806,16.493314504623413,16.3263680934906,16.384546756744385,16.20433759689331,16.159279584884644,16.040079355239868,10.606926202774048,10.438895225524902
BirdChicken,0.55,0.85,0.5,0.75,0.75,0.75,0.85,0.8,0.8,0.5,0.55,0.75,0.75,1.0,0.9,0.8,0.7,0.8,0.7,0.85,0.75,0.6,0.75,0.7,0.8,0.55,0.9,0.85,0.75,0.75,31.94904446601868,32.03060984611511,32.305389404296875,31.89660716056824,32.39956068992615,32.56670928001404,33.00730633735657,16.305129289627075,16.12891459465027,15.992939472198486,16.62644338607788,16.092325925827026,16.293705463409424,16.732508659362793,16.427793979644775,16.18731451034546,16.233251333236694,16.308476209640503,16.603110790252686,17.089841604232788,17.042553424835205,16.525083780288696,16.240694284439087,16.492239952087402,16.544186115264893,16.196813344955444,15.969709396362305,15.82840633392334,11.420316457748411,11.494739532470703
Car,0.75,0.7166666666666667,0.8,0.6166666666666667,0.85,0.7166666666666667,0.75,0.6833333333333333,0.7833333333333333,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.8,0.75,0.8,0.65,0.75,0.7666666666666667,0.8,0.75,0.7166666666666667,0.7833333333333333,0.8,0.7666666666666667,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.8,0.7666666666666667,0.7666666666666667,42.88300633430481,37.60803031921387,37.76124095916748,37.30800843238831,37.45801615715027,38.12417459487915,38.316911935806274,22.39124345779419,22.372211456298828,22.406898021698,22.4797477722168,22.797199249267575,22.582641124725345,27.488061666488647,23.685913562774655,23.44227910041809,23.41053056716919,23.56903600692749,23.476766109466556,23.80439567565918,23.133360385894772,22.628921508789062,22.56461834907532,22.604039192199707,22.626254320144653,22.325032472610477,22.27919578552246,19.35432243347168,16.650466203689575,16.7084903717041
CBF,0.9477777777777778,0.8933333333333333,0.9444444444444444,0.8788888888888889,0.8744444444444445,0.9655555555555556,0.8877777777777778,0.9044444444444444,0.9566666666666668,0.9377777777777778,0.96,0.9222222222222224,0.9211111111111112,0.9366666666666666,0.9577777777777776,0.8933333333333333,0.9355555555555556,0.9322222222222222,0.9288888888888888,0.9444444444444444,0.9555555555555556,0.9466666666666668,0.9355555555555556,0.8655555555555555,0.9088888888888887,0.96,0.9222222222222224,0.9511111111111112,0.9266666666666666,0.9577777777777776,28.389326333999637,23.346742391586304,23.504958629608154,23.894776582717896,24.248204469680783,24.8813898563385,24.988845348358154,8.221734285354614,8.322820663452148,8.221643924713135,8.22595477104187,8.454689979553223,8.52835726737976,8.927587032318115,8.273037672042847,8.475432634353638,8.246758699417114,8.120211124420166,8.425644874572754,8.739934206008911,9.073389053344728,8.205971717834473,8.327613115310669,8.193237066268921,8.306037425994873,7.845718860626221,7.524431705474853,6.586005210876465,5.487560033798218,5.171900510787964
ChlorineConcentration,0.6403645833333333,0.6256183285602708,0.6107784431137725,0.6316063525123665,0.6256183285602708,0.5930747201249674,0.6204113512106222,0.6552980994532673,0.6131215829211143,0.644103098151523,0.5902108825826607,0.6027076282218172,0.6131215829211143,0.621452746680552,0.6222337932829992,0.6188492580057277,0.6206717000781047,0.6084353033064306,0.6227544910179641,0.6451444936214528,0.6258786774277532,0.5985420463420984,0.621452746680552,0.6120801874511845,0.6060921634990888,0.6112991408487373,0.6224941421504816,0.6060921634990888,0.5951575110648268,0.6029679770892996,59.71681499481201,58.71751856803894,58.81873917579651,58.11867117881775,57.61380863189697,56.45753216743469,56.15806031227112,33.76642656326294,35.76070475578308,36.83810782432556,37.13607859611511,37.0716655254364,37.49656438827515,38.22831416130066,37.99380159378052,37.80732727050781,37.40205240249634,36.82748866081238,37.073168992996216,37.18078112602234,38.18287396430969,39.18747901916504,38.84957504272461,38.343653202056885,37.74622821807861,36.9612820148468,36.524200439453125,34.61633491516113,21.413029432296756,19.11090326309204
CinCECGTorso,0.7942028985507247,0.8021739130434783,0.8485507246376811,0.782608695652174,0.863768115942029,0.9036231884057973,0.7913043478260869,0.8760869565217392,0.7840579710144927,0.8384057971014492,0.813768115942029,0.8449275362318841,0.841304347826087,0.8543478260869565,0.7898550724637681,0.8768115942028986,0.7565217391304347,0.8543478260869565,0.7739130434782608,0.8478260869565217,0.8971014492753623,0.8144927536231884,0.7956521739130434,0.8913043478260869,0.822463768115942,0.8181159420289855,0.841304347826087,0.8152173913043478,0.91231884057971,0.8318840579710145,444.61990761756897,406.5158522129059,405.3685522079468,410.0539090633392,414.0285098552704,422.9277594089508,427.6065566539765,437.4689564704895,439.4333324432373,439.8425543308258,443.9708623886109,454.2746798992157,468.1485598087311,504.0743899345398,455.2673180103302,455.95440697669983,458.8085377216339,457.1098940372467,497.7524831295013,506.6150405406952,556.9184861183167,554.8311855792999,554.4590559005737,553.7459123134613,549.530374288559,508.0666542053223,489.34856605529785,442.2418396472931,261.1458032131195,259.5044560432434
